LOCATION,DateTime,DO.mgL,Temp.F
TLSAC,2/10/2022 9:44,11.52,52.38
TLSAC,2/10/2022 9:59,11.5,52.45
TLSAC,2/10/2022 10:14,11.49,52.48
TLSAC,2/10/2022 10:29,11.5,52.52
TLSAC,2/10/2022 10:44,11.52,52.59
TLSAC,2/10/2022 10:59,11.52,52.63
TLSAC,2/10/2022 11:14,11.5,52.7
TLSAC,2/10/2022 11:29,11.54,52.74
TLSAC,2/10/2022 11:44,11.54,52.81
TLSAC,2/10/2022 11:59,11.55,52.84
TLSAC,2/10/2022 12:14,11.54,52.92
TLSAC,2/10/2022 12:29,11.54,52.99
TLSAC,2/10/2022 12:44,11.55,53.02
TLSAC,2/10/2022 12:59,11.57,53.1
TLSAC,2/10/2022 13:14,11.57,53.17
TLSAC,2/10/2022 13:29,11.56,53.24
TLSAC,2/10/2022 13:44,11.56,53.31
TLSAC,2/10/2022 13:59,11.58,53.38
TLSAC,2/10/2022 14:14,11.58,53.42
TLSAC,2/10/2022 14:29,11.58,53.42
TLSAC,2/10/2022 14:44,11.58,53.46
TLSAC,2/10/2022 14:59,11.58,53.49
TLSAC,2/10/2022 15:14,11.59,53.53
TLSAC,2/10/2022 15:29,11.59,53.56
TLSAC,2/10/2022 15:44,11.6,53.6
TLSAC,2/10/2022 15:59,11.59,53.6
TLSAC,2/10/2022 16:14,11.6,53.64
TLSAC,2/10/2022 16:29,11.61,53.64
TLSAC,2/10/2022 16:44,11.6,53.64
TLSAC,2/10/2022 16:59,11.59,53.64
TLSAC,2/10/2022 17:14,11.6,53.64
TLSAC,2/10/2022 17:29,11.6,53.64
TLSAC,2/10/2022 17:44,11.59,53.64
TLSAC,2/10/2022 17:59,11.58,53.64
TLSAC,2/10/2022 18:14,11.56,53.6
TLSAC,2/10/2022 18:29,11.56,53.6
TLSAC,2/10/2022 18:44,11.55,53.6
TLSAC,2/10/2022 18:59,11.53,53.56
TLSAC,2/10/2022 19:14,11.52,53.53
TLSAC,2/10/2022 19:29,11.5,53.49
TLSAC,2/10/2022 19:44,11.5,53.49
TLSAC,2/10/2022 19:59,11.48,53.46
TLSAC,2/10/2022 20:14,11.49,53.42
TLSAC,2/10/2022 20:29,11.47,53.38
TLSAC,2/10/2022 20:44,11.46,53.35
TLSAC,2/10/2022 20:59,11.44,53.31
TLSAC,2/10/2022 21:14,11.43,53.28
TLSAC,2/10/2022 21:29,11.42,53.24
TLSAC,2/10/2022 21:44,11.42,53.2
TLSAC,2/10/2022 21:59,11.4,53.17
TLSAC,2/10/2022 22:14,11.4,53.13
TLSAC,2/10/2022 22:29,11.39,53.13
TLSAC,2/10/2022 22:44,11.37,53.1
TLSAC,2/10/2022 22:59,11.35,53.06
TLSAC,2/10/2022 23:14,11.35,53.02
TLSAC,2/10/2022 23:29,11.34,52.99
TLSAC,2/10/2022 23:44,11.33,52.99
TLSAC,2/10/2022 23:59,11.33,52.95
TLSAC,2/11/2022 0:14,11.33,52.92
TLSAC,2/11/2022 0:29,11.33,52.92
TLSAC,2/11/2022 0:44,11.31,52.88
TLSAC,2/11/2022 0:59,11.31,52.88
TLSAC,2/11/2022 1:14,11.31,52.88
TLSAC,2/11/2022 1:29,11.31,52.88
TLSAC,2/11/2022 1:44,11.32,52.84
TLSAC,2/11/2022 1:59,11.29,52.84
TLSAC,2/11/2022 2:14,11.3,52.88
TLSAC,2/11/2022 2:29,11.3,52.88
TLSAC,2/11/2022 2:44,11.28,52.92
TLSAC,2/11/2022 2:59,11.28,52.92
TLSAC,2/11/2022 3:14,11.28,52.95
TLSAC,2/11/2022 3:29,11.25,52.99
TLSAC,2/11/2022 3:44,11.26,53.02
TLSAC,2/11/2022 3:59,11.26,53.06
TLSAC,2/11/2022 4:14,11.26,53.1
TLSAC,2/11/2022 4:29,11.25,53.13
TLSAC,2/11/2022 4:44,11.25,53.17
TLSAC,2/11/2022 4:59,11.24,53.2
TLSAC,2/11/2022 5:14,11.23,53.24
TLSAC,2/11/2022 5:29,11.24,53.28
TLSAC,2/11/2022 5:44,11.23,53.35
TLSAC,2/11/2022 5:59,11.19,53.35
TLSAC,2/11/2022 6:14,11.2,53.38
TLSAC,2/11/2022 6:29,11.19,53.42
TLSAC,2/11/2022 6:44,11.17,53.42
TLSAC,2/11/2022 6:59,11.16,53.42
TLSAC,2/11/2022 7:14,11.16,53.46
TLSAC,2/11/2022 7:29,11.17,53.49
TLSAC,2/11/2022 7:44,11.16,53.49
TLSAC,2/11/2022 7:59,11.16,53.53
TLSAC,2/11/2022 8:14,11.16,53.53
TLSAC,2/11/2022 8:29,11.17,53.56
TLSAC,2/11/2022 8:44,11.17,53.6
TLSAC,2/11/2022 8:59,11.19,53.64
TLSAC,2/11/2022 9:14,11.22,53.67
TLSAC,2/11/2022 9:29,11.22,53.71
TLSAC,2/11/2022 9:44,11.23,53.74
TLSAC,2/11/2022 9:59,11.23,53.78
TLSAC,2/11/2022 10:14,11.23,53.82
TLSAC,2/11/2022 10:29,11.26,53.85
TLSAC,2/11/2022 10:44,11.24,53.89
TLSAC,2/11/2022 10:59,11.24,53.96
TLSAC,2/11/2022 11:14,11.25,54
TLSAC,2/11/2022 11:29,11.24,54.07
TLSAC,2/11/2022 11:44,11.27,54.1
TLSAC,2/11/2022 11:59,11.25,54.14
TLSAC,2/11/2022 12:14,11.27,54.21
TLSAC,2/11/2022 12:29,11.27,54.28
TLSAC,2/11/2022 12:44,11.27,54.32
TLSAC,2/11/2022 12:59,11.27,54.39
TLSAC,2/11/2022 13:14,11.31,54.46
TLSAC,2/11/2022 13:29,11.3,54.54
TLSAC,2/11/2022 13:44,11.28,54.57
TLSAC,2/11/2022 13:59,11.3,54.64
TLSAC,2/11/2022 14:14,11.32,54.68
TLSAC,2/11/2022 14:29,11.31,54.72
TLSAC,2/11/2022 14:44,11.3,54.72
TLSAC,2/11/2022 14:59,11.3,54.72
TLSAC,2/11/2022 15:14,11.31,54.75
TLSAC,2/11/2022 15:29,11.31,54.79
TLSAC,2/11/2022 15:44,11.31,54.79
TLSAC,2/11/2022 15:59,11.32,54.82
TLSAC,2/11/2022 16:14,11.33,54.82
TLSAC,2/11/2022 16:29,11.32,54.82
TLSAC,2/11/2022 16:44,11.33,54.86
TLSAC,2/11/2022 16:59,11.32,54.86
TLSAC,2/11/2022 17:14,11.31,54.82
TLSAC,2/11/2022 17:29,11.3,54.82
TLSAC,2/11/2022 17:44,11.31,54.82
TLSAC,2/11/2022 17:59,11.29,54.82
TLSAC,2/11/2022 18:14,11.28,54.82
TLSAC,2/11/2022 18:29,11.25,54.79
TLSAC,2/11/2022 18:44,11.23,54.79
TLSAC,2/11/2022 18:59,11.22,54.75
TLSAC,2/11/2022 19:14,11.19,54.75
TLSAC,2/11/2022 19:29,11.19,54.72
TLSAC,2/11/2022 19:44,11.16,54.68
TLSAC,2/11/2022 19:59,11.14,54.64
TLSAC,2/11/2022 20:14,11.12,54.64
TLSAC,2/11/2022 20:29,11.12,54.61
TLSAC,2/11/2022 20:44,11.11,54.57
TLSAC,2/11/2022 20:59,11.09,54.54
TLSAC,2/11/2022 21:14,11.08,54.5
TLSAC,2/11/2022 21:29,11.08,54.46
TLSAC,2/11/2022 21:44,11.05,54.43
TLSAC,2/11/2022 21:59,11.05,54.39
TLSAC,2/11/2022 22:14,11.03,54.36
TLSAC,2/11/2022 22:29,11.03,54.32
TLSAC,2/11/2022 22:44,11.02,54.28
TLSAC,2/11/2022 22:59,11.03,54.25
TLSAC,2/11/2022 23:14,11.02,54.21
TLSAC,2/11/2022 23:29,11,54.18
TLSAC,2/11/2022 23:44,10.99,54.14
TLSAC,2/11/2022 23:59,11,54.1
TLSAC,2/12/2022 0:14,10.98,54.1
TLSAC,2/12/2022 0:29,10.99,54.07
TLSAC,2/12/2022 0:44,10.96,54.07
TLSAC,2/12/2022 0:59,10.97,54.03
TLSAC,2/12/2022 1:14,10.96,54.03
