Date,LOCATION,PIT,Length.mm,Weight.g
2019-02-21,RRSAC4,B048B,48,1.1
2019-02-21,RRSAC4,B04B6,58,1.76
2019-02-21,RRSAC4,B04B8,42,1.01
2019-02-21,RRSAC4,D6E7B,51,1.38
2019-02-21,RRSAC4,D6E88,47,1.11
2019-02-21,RRSAC4,D6E89,45,1.16
2019-02-21,RRSAC4,D6E95,50,1.35
2019-02-21,RRSAC4,D6E99,NA,NA
2019-02-21,RRSAC4,D6E9C,48,1.35
2019-02-21,RRSAC4,D6EA5,49,1.26
2019-02-21,RRSAC4,D6EA9,54,1.61
2019-02-21,RRSAC4,D6EB5,45,0.96
2019-02-21,RRSAC4,D6ECB,50,1.15
2019-02-21,RRSAC4,D6ED0,51,1.5
2019-02-27,ELDSAC,B03F5,54,1.55
2019-02-27,ELDSAC,B040B,45,0.9
2019-02-27,ELDSAC,B0410,51,1.27
2019-02-27,ELDSAC,B0425,50,1.12
2019-02-27,ELDSAC,B0439,48,1.05
2019-02-27,ELDSAC,B045F,45,0.74
2019-02-27,ELDSAC,B046F,54,1.46
2019-02-27,ELDSAC,D6EBA,49,1.21
2019-02-27,RRCAN,B03AF,49,1.33
2019-02-27,RRCAN,B03C7,47,0.97
2019-02-27,RRCAN,B03F6,49,1.25
2019-02-27,RRCAN,B0433,50,1.31
2019-02-27,RRCAN,B0442,48,1.29
2019-02-27,RRCAN,B0459,50,1.24
2019-02-27,RRCAN,B0465,49,1.35
2019-02-27,RRCAN,B046C,51,1.4
2019-02-27,RRCAN,B0472,52,1.45
2019-02-27,RRCAN,B047A,50,1.24
2019-02-27,RRCAN,B0485,59,2.46
2019-02-27,RRCAN,B048D,53,1.58
2019-02-27,RRCAN,B049E,49,1.28
2019-02-27,RRCAN,B04BA,49,1.25
2019-02-27,RRCAN,B04BC,53,1.59
2019-02-27,RRCAN,B04C5,50,1.24
2019-02-27,RRCAN,B04CA,52,1.43
2019-02-27,RRCAN,D6E7D,50,1.36
2019-02-27,RRCAN,D6E84,53,1.83
2019-02-27,RRCAN,D6E92,54,1.65
2019-02-27,RRCAN,D6EA0,47,1.04
2019-02-27,RRCAN,D6EAC,53,1.4
2019-02-27,RRCAN,D6EBD,51,1.53
2019-02-27,RRCAN,D6ECA,50,1.23
2019-02-27,RRCAN,D6ECE,52,1.31
2019-02-27,RRSAC1,B03B3,52,1.43
2019-02-27,RRSAC1,B03C9,48,1.18
2019-02-27,RRSAC1,B03D6,50,1.49
2019-02-27,RRSAC1,B03EB,54,1.6
2019-02-27,RRSAC1,B0415,45,0.91
2019-02-27,RRSAC1,B0421,48,1.09
2019-02-27,RRSAC1,B042D,56,1.66
2019-02-27,RRSAC1,B0431,52,1.55
2019-02-27,RRSAC1,B0435,47,1.11
2019-02-27,RRSAC1,B043F,51,1.29
2019-02-27,RRSAC1,B0441,55,1.68
2019-02-27,RRSAC1,B0445,47,1.06
2019-02-27,RRSAC1,B044F,49,1.02
2019-02-27,RRSAC1,B0467,46,0.87
2019-02-27,RRSAC1,B0489,50,1.4
2019-02-27,RRSAC1,B0490,48,1.12
2019-02-27,RRSAC1,B04A4,49,1.22
2019-02-27,RRSAC1,B04AC,53,1.59
2019-02-27,RRSAC1,B04BB,53,1.51
2019-02-27,RRSAC1,B04C3,50,1.39
2019-02-27,RRSAC1,B04C9,55,1.72
2019-02-27,RRSAC1,D6E76,49,1.18
2019-02-27,RRSAC1,D6E96,58,2.06
2019-02-27,RRSAC1,D6E9A,51,1.24
2019-02-27,RRSAC1,D6EB0,55,1.81
2019-02-27,RRSAC1,D6EC5,52,1.4
2019-02-27,RRSAC2A,B03A9,49,1.31
2019-02-27,RRSAC2A,B03B1,50,1.25
2019-02-27,RRSAC2A,B03DF,52,1.38
2019-02-27,RRSAC2A,B0409,48,1.04
2019-02-27,RRSAC2A,B0413,49,1.5
2019-02-27,RRSAC2A,B0419,46,1.09
2019-02-27,RRSAC2A,B04A6,46,0.94
2019-02-27,RRSAC2A,B04AB,50,1.52
2019-02-27,RRSAC2A,D6E7F,52,1.38
2019-02-27,RRSAC2A,D6E83,54,1.58
2019-02-27,RRSAC2A,D6E8C,56,1.66
2019-02-27,RRSAC2A,D6E8E,47,1.11
2019-02-27,RRSAC2A,D6EAB,49,1.23
2019-02-27,RRSAC2A,D6EAF,47,1.1
2019-02-27,RRSAC2A,D6EB1,49,1.32
2019-02-27,RRSAC2B,B03D2,50,1.02
2019-02-27,RRSAC2B,B03D5,45,0.89
2019-02-27,RRSAC2B,B03DD,52,1.64
2019-02-27,RRSAC2B,B03F2,51,1.65
2019-02-27,RRSAC2B,B040E,50,1.32
2019-02-27,RRSAC2B,B0429,49,1.23
2019-02-27,RRSAC2B,B0446,50,1.34
2019-02-27,RRSAC2B,B0453,54,1.67
2019-02-27,RRSAC2B,B0455,52,1.5
2019-02-27,RRSAC2B,B0476,49,1.26
2019-02-27,RRSAC2B,B0494,52,1.4
2019-02-27,RRSAC2B,B04A0,49,1.38
2019-02-27,RRSAC2B,B04AD,50,1.29
2019-02-27,RRSAC2B,B04AE,53,1.63
2019-02-27,RRSAC2B,D6E78,52,1.51
2019-02-27,RRSAC2B,D6E85,50,1.03
2019-02-27,RRSAC2B,D6E9B,51,1.46
2019-02-27,RRSAC3,B03AA,45,0.95
2019-02-27,RRSAC3,B03B4,55,1.97
2019-02-27,RRSAC3,B03D1,45,1
2019-02-27,RRSAC3,B03D7,50,1.26
2019-02-27,RRSAC3,B03D8,54,1.41
2019-02-27,RRSAC3,B03D9,49,1.18
2019-02-27,RRSAC3,B03E8,55,1.55
2019-02-27,RRSAC3,B0406,48,0.95
2019-02-27,RRSAC3,B041D,53,1.7
2019-02-27,RRSAC3,B0423,50,1.06
2019-02-27,RRSAC3,B043D,50,1.34
2019-02-27,RRSAC3,B0448,53,1.39
2019-02-27,RRSAC3,B044A,50,1.4
2019-02-27,RRSAC3,B0456,44,0.98
2019-02-27,RRSAC3,B047E,42,0.58
2019-02-27,RRSAC3,B0481,48,1.26
2019-02-27,RRSAC3,B0488,52,1.22
2019-02-27,RRSAC3,B04B0,48,1.11
2019-02-27,RRSAC3,B04B1,43,0.78
2019-02-27,RRSAC3,B04B3,47,0.91
2019-02-27,RRSAC3,B04B7,54,1.45
2019-02-27,RRSAC3,B04C7,48,1.19
2019-02-27,RRSAC3,B04C8,53,1.59
2019-02-27,RRSAC3,B04CB,NA,1.22
2019-02-27,RRSAC3,D6E80,50,1.42
2019-02-27,RRSAC3,D6EC1,49,1.18
2019-02-27,RRSAC3,D6ED1,52,1.52
2019-02-27,RRSAC4,B03A6,48,1.13
2019-02-27,RRSAC4,B03C4,48,1.34
2019-02-27,RRSAC4,B03D3,48,1.1
2019-02-27,RRSAC4,B03E2,50,1.26
2019-02-27,RRSAC4,B0408,49,1.36
2019-02-27,RRSAC4,B0418,49,1.06
2019-02-27,RRSAC4,B041F,47,0.98
2019-02-27,RRSAC4,B042A,50,1.11
2019-02-27,RRSAC4,B0434,49,1.19
2019-02-27,RRSAC4,B0437,51,1.38
2019-02-27,RRSAC4,B0443,49,1.27
2019-02-27,RRSAC4,B044B,47,1.07
2019-02-27,RRSAC4,B044D,47,1.34
2019-02-27,RRSAC4,B0462,49,1.13
2019-02-27,RRSAC4,B0474,52,1.33
2019-02-27,RRSAC4,B0487,53,1.48
2019-02-27,RRSAC4,B048B,50,1.32
2019-02-27,RRSAC4,B04B6,56,1.85
2019-02-27,RRSAC4,B04B8,42,1.01
2019-02-27,RRSAC4,D6E7B,52,1.71
2019-02-27,RRSAC4,D6E88,49,1.4
2019-02-27,RRSAC4,D6E89,47,1.16
2019-02-27,RRSAC4,D6E95,50,1.31
2019-02-27,RRSAC4,D6E99,44,0.76
2019-02-27,RRSAC4,D6E9C,50,1.36
2019-02-27,RRSAC4,D6EA5,50,1.32
2019-02-27,RRSAC4,D6EA9,55,1.91
2019-02-27,RRSAC4,D6EB5,46,0.91
2019-02-27,RRSAC4,D6ECB,52,1.39
2019-02-27,RRSAC4,D6ED0,53,1.84
2019-03-05,ELDSAC,B03F5,NA,NA
2019-03-05,ELDSAC,B040B,NA,NA
2019-03-05,ELDSAC,B0410,NA,NA
2019-03-05,ELDSAC,B0425,50,1.22
2019-03-05,ELDSAC,B0439,NA,NA
2019-03-05,ELDSAC,B045F,NA,NA
2019-03-05,ELDSAC,B046F,54,1.55
2019-03-05,ELDSAC,D6EBA,49,1.23
2019-03-05,RRCAN,B03AF,55,1.72
2019-03-05,RRCAN,B03C7,49,1.24
2019-03-05,RRCAN,B03F6,53,1.65
2019-03-05,RRCAN,B0433,54,1.75
2019-03-05,RRCAN,B0442,51,1.59
2019-03-05,RRCAN,B0459,53,1.72
2019-03-05,RRCAN,B0465,52,1.58
2019-03-05,RRCAN,B046C,55,1.94
2019-03-05,RRCAN,B0472,56,1.77
2019-03-05,RRCAN,B047A,53,1.55
