Date,LOCATION,PIT,Length.mm,Weight.g
3/12/2019,RRSAC2A,B04AB,55,2.2
3/12/2019,RRSAC2A,D6E7F,60,2.26
3/12/2019,RRSAC2A,D6E83,57,2.19
3/12/2019,RRSAC2A,D6E8C,59,2.19
3/12/2019,RRSAC2A,D6E8E,53,1.62
3/12/2019,RRSAC2A,D6EAB,NA,NA
3/12/2019,RRSAC2A,D6EAF,53,1.7
3/12/2019,RRSAC2A,D6EB1,54,1.63
3/12/2019,RRSAC2B,B03D2,53,1.28
3/12/2019,RRSAC2B,B03D5,NA,NA
3/12/2019,RRSAC2B,B03DD,54,1.77
3/12/2019,RRSAC2B,B03F2,57,1.68
3/12/2019,RRSAC2B,B040E,53,1.58
3/12/2019,RRSAC2B,B0429,55,1.68
3/12/2019,RRSAC2B,B0446,56,1.86
3/12/2019,RRSAC2B,B0453,60,2.09
3/12/2019,RRSAC2B,B0455,55,1.9
3/12/2019,RRSAC2B,B0476,55,1.73
3/12/2019,RRSAC2B,B0494,55,1.88
3/12/2019,RRSAC2B,B04A0,54,1.82
3/12/2019,RRSAC2B,B04AD,54,1.58
3/12/2019,RRSAC2B,B04AE,59,1.91
3/12/2019,RRSAC2B,D6E78,59,2.4
3/12/2019,RRSAC2B,D6E85,NA,NA
3/12/2019,RRSAC2B,D6E9B,55,1.91
3/12/2019,RRSAC3,B03AA,45,0.98
3/12/2019,RRSAC3,B03B4,59,2.12
3/12/2019,RRSAC3,B03D1,48,1.2
3/12/2019,RRSAC3,B03D7,NA,NA
3/12/2019,RRSAC3,B03D8,54,1.61
3/12/2019,RRSAC3,B03D9,50,1.31
3/12/2019,RRSAC3,B03E8,57,1.71
3/12/2019,RRSAC3,B0406,NA,NA
3/12/2019,RRSAC3,B041D,NA,NA
3/12/2019,RRSAC3,B0423,50,1.28
3/12/2019,RRSAC3,B043D,55,1.7
3/12/2019,RRSAC3,B0448,55,1.75
3/12/2019,RRSAC3,B044A,52,1.41
3/12/2019,RRSAC3,B0456,49,1.26
3/12/2019,RRSAC3,B047E,NA,NA
3/12/2019,RRSAC3,B0481,51,1.39
3/12/2019,RRSAC3,B0488,52,1.42
3/12/2019,RRSAC3,B04B0,51,1.36
3/12/2019,RRSAC3,B04B1,45,0.96
3/12/2019,RRSAC3,B04B3,49,1.1
3/12/2019,RRSAC3,B04B7,55,1.74
3/12/2019,RRSAC3,B04C7,NA,NA
3/12/2019,RRSAC3,B04C8,57,1.84
3/12/2019,RRSAC3,B04CB,52,1.47
3/12/2019,RRSAC3,D6E80,54,1.53
3/12/2019,RRSAC3,D6EC1,53,1.46
